cidade,lat,lon,id,habitantes
garanhuns,-8.882855100000002,-36.4969127,2606002,139788
caetes,-8.7776012,-36.62263160000001,2603207,28739
jupi,-8.7107231,-36.4195979,2608305,14836
iati,-9.043243499999999,-36.8476268,2606507,19197
aguas belas,-9.1131829,-37.1214501,2600500,43443
lajedo,-8.6569186,-36.3238574,2608800,40288
bom conselho,-9.1698518,-36.6851182,2602100,48554
terezinha,-9.0563351,-36.6247356,2615102,7169
lagoa do ouro,-9.1467724,-36.4580775,2608602,13145
jucati,-8.7068084,-36.4892171,2608255,11424
paranatama,-8.9212095,-36.6576635,2610301,11523
capoeiras,-8.7388415,-36.627419,2603801,20048
brejao,-9.0295682,-36.5663644,2602407,8993
angelim,-8.8897351,-36.2851273,2601003,11150
calcado,-8.7554749,-36.3281377,2603306,11053
sao bento do una,-8.523630599999999,-36.4431999,2613008,0
correntes,-9.1247703,-36.3281377,2604700,18207
saloa,-8.9735518,-36.6894576,2612307,15843
sao benedito do sul,-8.8170241,-35.9456706,2612901,0
recife,-8.0522404,-34.9286096,2611606,0
sao lourenco da mata,-8.005951,-35.0209058,2613701,0
palmeirina,-9.0021405,-36.3256421,2610103,7693
venturosa,-8.576105499999999,-36.8747234,2616001,0
cupira,-8.6110449,-35.9516081,2605004,0
salgueiro,-8.072506599999999,-39.1268089,2612208,60930
jatoba,-9.1840236,-38.2672396,2608057,14796
serrita,-7.9469346,-39.2968987,2614006,19165
serra talhada,-7.982190699999999,-38.2893787,2613909,0
cabrobo,-8.5082573,-39.310256,2603009,34221
sao jose do belmonte,-7.865488999999998,-38.7601577,2613503,33959
arcoverde,-8.4176445,-37.0585205,2601201,0
caruaru,-8.276017999999999,-35.9819367,2604106,0
quipapa,-8.812173,-36.01399019999999,2611507,0
mirandiba,-8.1200069,-38.7280105,2609303,15390
calumbi,-7.935927499999999,-38.1485874,2603405,0
buique,-8.6210924,-37.1572494,2602803,0
afogados da ingazeira,-7.747261599999999,-37.6173695,2600104,0
bezerros,-8.241496399999999,-35.7570657,2601904,0
pedra,-8.4990611,-36.9454477,2610806,0
ibirajuba,-8.579309799999999,-36.1780474,2606705,0
pesqueira,-8.358181,-36.6980333,2610905,0
sao joao,-8.875166,-36.366496,2613206,22793
santa terezinha,-7.377258,-37.478864,2612802,0
jurema,-8.717929,-36.134757,2608404,0
canhotinho,-8.876493,-36.198079,2603702,24804
cachoeirinha,-8.490124,-36.233965,2603108,0
juazeiro do norte,-7.229134,-39.311792,2307304,0
floresta,-8.597612,-38.574246,2605707,0
vila neves,-8.756641,-36.433604,2608255,0
campina grande,-7.228564,-35.894076,2504009,0
terra nova,-8.222892,-39.382364,2615201,10096
cedro,-7.719692,-39.237703,2604304,11807
parnamirim,-8.091177,-39.579615,2610400,22010
brejo santo,-7.489037,-38.987245,2302503,49477
juazeiro,-9.430185,-40.502483,2918407,0
arapiraca,-9.747809,-36.634172,2700300,0
itaiba,-8.947115,-37.421118,2607505,26349
sertania,-8.075733,-37.268756,2614105,0
tabira,-7.585069,-37.538118,2614600,0
penaforte,-7.787580,-39.070290,9077